Å°,¸ö¹«°Ô
129,34.4
139,31.1
127,25
144,41.8
129,29.4
138,40.9
135,26.1
127,27.1
126,23.9
136,37.2
134,35
138,37.9
129,27
139,33
140,30.6
145.1,38.5
146.4,50.4
134.7,27.7
126.6,24.1
136.4,33
141.8,39.1
127.4,28
147,51.8
144,36
143,43
141.7,41
148.8,33.3
143,35.2
137.3,30.2
137.4,36.4
131.5,26.7
134.4,32.3
140.5,41
136.7,28
139,43
146.7,46.6
126.9,26.4
137,48
148,42.4
145,36.2
150,55.2
150,48
145.5,55.8
134,32.2
153,63.4
144,56.5
149,55
148,39.3
144,33.8
158,64
138,32.3
133,37.6
143,32.2
138,28.2
150,40.3
138,43.6
153,48.8
157,44.5
157,59.9
139,32
168,84.4
144,29.3
135,44
156,46.8
143,36.3
146,37.8
154,38.7
159,61
152,53
160,43
155,58
144,47
154,46
152,41.7
149,55.9
126,24.5
163,69.4
157,47.7
146,36.8
152,40.7
120.4,23.6
120.9,20.2
126.1,24.5
120.8,20.4
123.4,25.8
132.5,37
125.4,22.6
119.2,23
123.3,27
112.5,18
133.4,44.6
118.2,22
116,22.4
126.7,28
123.2,20
128,26
124,24
114.9,19
126.6,28
121.6,20.8
126.5,24.9
133.4,28.3
127.2,31.1
128.4,35.8
129.1,33.2
135.3,40.8
133.5,39
121.2,20.4
129.2,28.1
115.7,20.3
128.2,34.1
122,21.1
125.2,25.4
120.9,21.3
112.7,19.6
125.8,25.3
128.1,32
133.8,42
118.3,23.2
134.8,28.4
138.2,32
132.7,27.4
139.3,49.1
131,25.2
135.2,38.3
127.6,33.6
125.9,24.7
144.8,45.6
138.4,38.1
133.6,31.8
136.9,29.2
136.1,29.2
130.3,24.5
129.4,28.8
139.2,39.8
138.7,31.5
130,29.4
127.3,26
131.9,29.3
143.3,44.4
137.2,29
133.1,29.6
139.1,26
136.2,25
141.7,37.3
141.3,32
142.2,39.4
144.1,33.8
141.7,36.5
138.2,40
144.2,29
133.7,37
138.7,32.5
139,41
136.4,38
143,36
150.2,39.8
134,41
138.2,36.4
136.8,25.1
127.1,24.6
131.3,33.2
130.3,28.5
132.5,34.9
139.5,33
163.3,70.1
146.5,56.4
136.1,31.6
141.2,36.7
157.8,50.7
138.2,31.9
145,54.9
147.1,61.5
129.9,29
154.6,53.5
141.9,31.8
143.3,45.6
152.6,57.3
146.2,39.2
140.3,40.6
134.7,31.4
134.7,31.3
145,45.9
146.8,44.8
129.5,25.3
151.4,43.7
152.3,45.6
135.6,27.5
142.2,36.1
139.7,35.8
151.7,88.8
156,43.4
155.4,64
151.5,37.8
139.4,31.2
152.8,48.4
148.5,39.6
135.6,37.1
147.9,39.1
140.7,33
152.1,39.1
148,32.9
132.8,35.1
151.1,49.1
160.2,49.1
148.5,48
148.8,44
151.1,46.2
155.2,58.9
159.5,64.3
149.1,34.8
149.1,34.8
123.1,24.6
127,32.1
107.7,15.9
122.2,19.7
121.3,22.7
117.3,22.5
127.7,23.2
115.7,21.1
119.2,20.5
120,21.3
121.1,28.3
120.3,25.3
121.8,23.1
133.8,32.9
120.1,23.6
118,20.5
125.9,37
126.5,24.6
125.3,25
125.3,24.1
124.8,24.8
122.1,23.2
137.1,32.8
119.6,21.8
119.9,21.8
126.9,26.9
125.9,23.7
135.1,41
125.1,29.4
120.4,25.5
126.1,23.7
138.1,29.5
122.7,24.2
120,18.2
126.3,24.9
127.3,26.2
129.2,29.8
140.3,32.3
129.9,29
127.8,23.9
131.6,30.3
127.2,30.2
123.6,21.4
127.7,27.8
131.1,27.1
144.2,47.7
129.8,27
131.3,29.1
132.7,25
139.7,36.4
137.6,33.5
135.7,33.1
129.9,29.1
130.4,26.4
136.6,35.7
138.1,28.8
136.6,30.9
129.8,25.4
137.9,26.4
127.7,24
128.7,23.4
132.6,32.2
127.1,25.9
133.1,40.2
133,37.7
132.6,24.8
140,34
135,33.1
136.8,38.2
140.8,38.3
138.1,46.3
133.7,27.3
137.2,33.9
142,38.8
143.1,32
135.3,30.1
132.8,29
138.3,30.4
155.3,74.7
138.4,31
134.7,35
127.9,39.9
143.5,36.1
136.2,39.1
151.7,52.7
138.5,31.4
143.3,39.4
131.1,28.6
135.1,30.3
148.3,57
138.2,29.4
147.8,39.1
145.4,45.5
148.7,50.8
143.4,32.6
151.5,50.4
151.7,51.4
132.5,28.5
150.5,50.4
146.3,35.9
144.7,47
156.8,59.8
133.8,39.8
151.9,37.7
144.8,36.2
142.9,34.6
152.8,41.6
155.3,58.3
151.3,39.2
130.6,28.5
139.3,35.2
148.1,31.8
153.2,49
157.5,39.8
142.1,29.9
137.5,29.5
151.1,39.9
140.8,30.8
141.9,41.2
154.7,42.2
165.3,66.2
141.6,33.3
152.7,55.8
145.6,51.3
158,43.4
148.3,49.1
166,74.2
141.7,35.5
141.1,35.4
144.2,36.9
153,55.3
140.3,27
149.6,52.9
158.1,55.9
138.5,25.9
148,38.7
143.2,49.7
149.3,36.5
152.6,46.3
159.7,39.9
122.8,24.2
123.6,20.8
122.1,24.2
125.8,25.9
125.7,32.6
123.7,22.5
115.7,20
122.8,21.6
118.4,22.6
119,26.2
130.1,24.5
117.5,20.7
118.2,21.7
126.4,34.9
124.6,24.1
127.2,25.4
119,21.3
125.4,25.6
121.6,20.4
116,26.3
121.4,22
118.7,23
126.5,28
121.2,23.2
118.7,22.1
123.1,23
137.3,33.8
126.1,25.6
133.6,33
135,35.4
129.4,26.4
134.9,32.7
132,30.5
124.8,30.5
127.9,27.7
130.5,25.1
127.4,27.3
122.1,19.7
126.9,24.8
125.3,23.2
120.7,23.6
122.5,23.1
135.9,40.6
123.3,29.2
140.1,29.4
125.8,20.9
139.8,41.9
130.8,28.9
136.3,35.4
133.2,27.5
130.9,23.2
133.7,39.9
140.5,28
139.5,31.9
137,27.7
136,38.7
129.1,24.9
132.8,34.3
123.6,30.1
134.7,29.1
136.7,29
129.2,27.4
125.6,22.4
129.5,29.7
141.7,38.1
145.9,51.7
138.2,37.9
143.1,34.2
139.2,36
148.6,53.5
148.8,53.7
154.9,66
135.2,32.3
142.3,34.6
139.6,52.8
141.7,33.7
149.7,53.5
138.3,31.7
141.4,33.7
151.2,39.4
134.9,30
145.2,39.9
137.7,33.1
137.5,31.7
144.3,38.6
136.2,42.9
141.1,53.1
146.5,36.1
141.4,31.6
134.6,35.9
146.1,44.1
145.9,39.8
141.6,31.3
139.6,45.8
149.3,45.5
151.8,45.3
152.1,41.5
145.5,41
145.6,36.3
144.6,43.8
140.2,30.9
145.2,42.8
136,28.7
138.5,39.7
145.8,56.2
141.7,29
149.9,44.3
158.6,56
151.2,44.8
159.1,41.9
146.5,36.7
147.5,34.1
151.3,42.8
156.6,51.2
146.7,34.4
147.8,43.4
153.2,56.3
155.8,75.7
144.9,46.4
157,46.8
165.9,59
159.8,59.1
152.3,38.1
153.2,41.2
149.5,40.9
164.9,55.7
156.1,36.3
152.8,41.4
138.5,33.8
122.2,27.7
120.9,21.8
130.9,31.3
118.9,22
115.1,22
119.1,26.7
122.8,23.1
121.8,27.8
116.9,23.9
126.6,36.4
120.6,24.9
120.9,28.1
122.5,28.5
129.5,27.8
125.9,23.7
116.6,21.9
123.8,25
128.5,22.1
108.9,17.7
115.4,23.2
116.7,20
124.2,24.2
116.3,25.3
117.9,19.9
134.2,35.9
136.9,29.6
135.1,28.2
118.3,26.4
133.1,25.5
130.8,32
132.1,35
133.9,30.3
125.6,22.8
126.9,32.1
132.1,30.7
129.2,26.1
127.2,26.8
122.5,25
125.9,25.9
127.5,23.2
130.4,31
125.3,20.6
122.9,22.2
125.9,25.5
127.4,28.8
125.2,21
130,25.2
117.3,18.6
131.3,28.6
144.8,47.2
128.2,27.1
133.3,28.8
132.6,35.8
141.8,32.1
139.8,35.9
120.7,22.1
131.5,24.8
133.4,33.3
133.4,33.3
131.1,36.8
127.5,28.3
144.6,39.5
131.7,32.5
135.6,27
123.8,23.4
135.1,25.5
132.6,29.5
132.7,27.7
130.4,29.7
124.6,21.4
135.2,34.1
136.9,30.8
134.2,28.4
129.6,24.1
137.4,27.1
123.4,23.5
129.2,25.1
130.9,25.2
129.3,24.3
133.2,28.6
138.4,33.5
137.6,27.5
134.2,31
137.3,35.2
138.1,35.7
149.9,42.8
133.9,31.6
126.2,25.6
147.7,38.4
143.8,36.7
136,34.8
135.6,29.1
139,36.7
135,32.5
146.7,37.2
145.4,42.1
141.5,31.5
144.3,40.6
134.3,37
141.7,37.5
144.5,42.8
134.5,29.3
139.2,36
130.9,26.8
145.3,34.9
138.4,41.4
128.5,26.2
146.3,46
150.3,48.3
138.2,33.8
139.3,33
150,35.7
126.5,25.7
144.7,49.4
143.5,44
149.4,47.2
144.5,43.2
137.6,30.1
140.6,46.6
142.6,45
153.9,52.7
144.2,37.2
142.4,31.9
140.5,31.9
149.8,38.1
136,35.6
141.9,36.2
149.9,40.3
140.6,40.5
139.6,33.4
146,42.1
143.2,44.8
152.8,51
141.5,34.8
153.2,45.6
146,34
140.8,31.2
168.8,84.5
156.4,51.6
167.2,65.4
158.6,39.7
156.5,62
149,42.2
153.6,48.4
148.1,45
151.8,44
153.7,45.8
155.1,42.3
165.9,67.3
157.9,35.5
162.6,52.6
148.5,56.9
154,44.2
165.2,50.4
146.5,45.7
163.3,54.4
150.5,40.3
153,38.7
139,30.4
150.8,37.4
158.6,60.5
155.2,43.2
138.1,28.1
158.2,57.1
157.3,40.4
153.9,48.2
145.7,44.2
128.7,30.2
128,25.1
116.9,21.9
119.9,22.4
122.7,27.8
120.7,23.9
130.1,27.3
121.5,23.9
127.4,27.1
115.2,20
114.8,21.1
115,18.6
118.3,21.7
118.5,26.2
120.8,21.1
126.3,25.8
109.6,20
118.6,22.4
118.7,20.7
116.9,18.2
120.9,24.6
123.3,25.6
119.3,21.8
112.7,20.5
135.5,32.6
133.8,28.5
129.3,24.6
126.2,24.9
129.9,28.2
118.6,22.3
128.4,28.1
127,27.7
122.6,23.3
126.5,22.9
127.7,28.3
124,21.4
124.6,28.2
123.2,22.9
131.8,27.7
126.8,27.6
131,27
133.8,29.7
119.9,24.2
130.1,33.2
133,25.6
125.7,22.9
131.7,29.2
140.5,45.8
136.8,28.1
139.9,44.5
140.1,42.7
134.4,23.9
131.9,27.7
136.4,28.2
140.8,34.3
138.4,32.6
145,39.2
135.1,31.6
137.6,42.1
124.6,24.1
137.1,33.5
125.2,27.4
130.1,28.8
137.2,29.8
131.7,27.3
127.2,24.2
129.4,31.2
131,24.6
125.7,29.7
145.6,32.8
134.9,30.5
154.1,51
138.3,34
141.3,41.7
138.3,44.5
133.7,30.3
150.1,47.9
135.5,29.4
135.3,30.8
136.4,27.1
135.9,26.8
141,32.8
138,37.1
140.4,31.9
140.8,26.5
150.1,35.6
126.5,26.4
143.9,34.5
131.4,28.6
139.6,29
135.8,28
137.6,31.4
142.8,38.2
141.8,35.6
161.2,49
144.1,41.1
131.8,32.5
150.8,51.8
144.3,37
140,39.7
147,40.9
149,43.2
126,36
148,32.1
144.3,35
142.2,32
149.7,40.8
148.7,50.8
114.6,43.3
139,30.5
135.4,30.5
148,38
139.7,37.4
145.6,36
156.4,43.9
157.8,64.8
150.4,34.3
134.2,32.5
145.2,32.6
137.7,38.2
158.2,45.6
147.8,48.9
158,58.3
162.4,50.1
156.2,37
155.4,46.7
152.5,55.5
155.2,37.5
140,34.3
157.3,58
160.7,59.5
150.5,39.9
156.5,47.3
169.1,60.6
153.4,56.2
160.9,42.2
165.3,54.4
156.1,56
154.1,49.3
163.2,46.1
161.5,38.6
150.4,44.5
151.5,37.8
154.8,56.5
154.7,47.9
143.9,32.8
159,46.9
153.7,40.8
156.7,55.6
118.8,22.7
115,19
124,22.4
118.4,20.3
127.8,25.4
126.5,35.3
126.6,26
115.6,23.3
117.1,25.4
116.9,21.8
113.4,18.5
123,39.7
119.1,24.2
119.3,25
120.2,20.9
119.9,28.7
117.6,24.6
126,35
114.3,18.3
120.6,27.6
118.7,19.6
118,21.4
130,27.1
122.7,25.4
123.7,27.7
122.7,26.3
118.1,27.7
116.2,21.9
140,53.8
136.5,30.3
143.6,43.1
128.3,25.8
133,26.2
119.5,24.8
120.6,30.2
121.9,31.4
123.3,29.2
117.1,20.3
125.5,36.1
127.8,24
129.5,34.3
124.5,22.5
119.3,19.1
127.7,26.7
143.5,30.4
132.1,33.8
133.8,40.6
127.8,23.5
132.4,21.8
125.6,21.9
127.7,34.7
128.3,30.1
132,30
122.1,21.5
131.6,37.4
139.7,52
149.5,37.3
120.9,32.9
133.4,34.6
130.8,25.9
132.1,26.6
136.8,33.1
138.4,32.9
134.3,29.6
129.1,25.8
137.8,29.7
128.4,23
144.5,35.3
134.2,34.3
135.1,36.7
132.9,34.7
131.3,28.3
132.4,22.8
127.6,26.1
127.9,30.3
128.8,26
131.7,28.8
141.4,47.4
143,30.9
150,52
155,79
145,43.1
149,52
137.2,37.7
140.2,40.6
141.2,42.5
145.7,45.8
147,33
146.8,41.8
137.3,32.4
140.9,31
141.3,42.4
146,44.5
135,34
139.3,38.5
145.8,34
146,36
138.5,35.3
143.2,50.3
141.3,30.3
156.4,70
137.5,23.4
150.8,46.1
140.3,50.5
152.8,52.2
142.4,33.1
155.9,56.1
144.1,57.8
130.5,26.9
146.5,36.2
151.5,42.1
147.9,35
144.5,38.3
157.3,51.7
147.1,29.7
149.7,31.9
153.8,53.9
145.7,31.4
150.8,54.2
153.2,37.7
151.9,61.9
153.2,49.9
160.8,58.4
145.7,33.7
155.3,60.8
157.8,40.1
147.2,52.6
145.9,39.3
151,42.7
162.6,52.9
147,64.6
157.6,46.1
150,47.4
147.8,38.3
142.4,67.6
148.8,42.3
149.5,45.4
152.6,65.1
153.3,59.7
153.4,56.7
122.2,26.3
117.1,23.4
113.5,18.9
118.4,20.6
118,23.5
129,23.8
123.6,30.7
123.2,30.9
132.5,32.8
121.6,27
124,31.9
123.3,20.2
119,22.8
113.5,18.4
123.1,24
127.7,27.4
119.2,22.4
114.4,21.2
115.7,21.6
119.1,22.3
122.7,28.4
118,18.3
130.9,24.2
130.4,26.4
125.7,26.8
126.9,24.6
123.1,23.3
126.5,25.7
128.3,33.2
136.7,31.8
128,28.5
134.3,35.7
116.4,19.4
124,24
121.5,21.3
129.1,33.1
129.8,26.5
119.8,22.4
124.8,27.2
129.9,28
124,23.5
120.8,22.9
130.6,24.4
130,24
120.2,24.8
116.2,20.9
134.2,26.7
129,31.7
130.2,27.2
129,27
131,32.3
138.8,40
125.5,25.1
134.4,40
124.3,28
137,32.8
125.2,28
133.9,36.3
133.3,40.4
132.7,32.9
127.2,24.7
129.2,26.8
126.7,28.4
134.3,27.9
123.7,23.3
132.4,26.6
129.2,29.2
128.4,23.2
130.7,28.2
130.7,34.5
132.4,28.2
133.4,36.1
139.7,47.8
139.6,44.4
137.2,34.7
149.8,47.3
135.4,32.2
139,41.4
143.9,42.5
141.7,43
142.1,42.5
133.7,27
137.9,42.4
136.5,28.8
139.6,40.8
140.5,30
136.8,33.9
141.8,43.4
134.4,33.8
136.4,30.3
133.9,35.3
136,22.7
126.8,22.5
141.7,43.9
133.4,31.3
143.2,34
144.5,41.3
147.9,45.2
145.5,53.2
150.3,40.5
146.9,41.9
145.9,35.2
140.9,51.3
155.9,64.3
144.7,32.2
149.7,42.5
154.6,44.4
141.7,33.5
142.7,48.2
151.7,40.2
151.5,45.4
145.7,45.2
144.4,34.7
152.2,37.5
145.9,47.8
150,50.2
146.4,37.6
138.6,30.3
158.6,41.8
157.6,59.4
157,39.1
146.6,35.2
157.2,52.4
142.3,31
148.7,54.4
153.3,44.8
158.8,49.2
145.3,33.6
160.2,59.7
148.7,52.2
147.1,45.3
138.2,30
145.1,31.3
150.8,36.4
158.4,51.1
158.9,47.4
162.2,43.8
168.2,56.4
158.9,48
148.1,49.1
144.8,37.4
148.4,62.2
148.3,46.2
153.3,41.9
121.5,21.5
115.8,17.8
115.5,19.7
129.7,25.5
124.2,30.1
127.8,27
118.5,19.4
116.5,19.8
117.2,20.1
120.5,20.5
113.4,19.8
117.1,18.5
131.1,30.4
120.2,22.3
117.7,20.3
116,22.5
118.1,21.7
121.2,22.7
125.9,25
120.2,22.3
121.6,22.1
137,30.9
126.6,35.8
120.8,23.1
117.3,21.3
134.5,34.2
130.1,30.1
124.2,29.1
128.4,23.6
126,22.5
139.7,35.1
126.3,28.2
133.7,24.4
134.1,33.5
121.7,23.1
120.2,24.9
131.2,24.8
132.7,33.9
125.8,37.7
122.9,22.6
131.5,31.2
127.2,31.2
130.2,25.5
145.5,50
134.7,34.1
124.5,25.7
140.7,32.2
137.3,43.3
130.4,29.5
130.6,27.5
126.6,27.5
140.7,33.4
121.2,24
141.5,38.3
141.7,39.3
131.3,29
132.4,28
124.5,23.8
128.2,28.2
119.5,21.3
124.9,31
142.9,26.5
139.9,36.1
133.1,29.4
147.9,35.5
144.5,42.7
137.5,28.9
139,36.4
135.9,34.3
146.6,44.5
130.4,24.6
140.4,31.8
140.8,31
137.1,38.5
138.5,31.3
141.5,35.2
139.6,42
149.3,40.9
149,45.3
144.9,38
139.8,29
137,30.3
135.7,41
145.8,34.9
141.4,37.2
141.3,37.5
136.8,31.1
144.8,35.7
142.2,35.1
136.3,33.3
143.9,43.1
154,61
141.8,34.8
139.2,32.6
140,49
138.4,33.5
136.8,33.8
131.8,30.1
140.6,36.2
136.8,27.1
139.9,33.6
150.1,50
136.5,29
143.7,43.5
139.1,36.3
143.6,37.9
148.6,42.1
144.4,33.2
163.8,50.1
154.9,41.9
150.2,36.8
162.1,49.4
165.7,47
144.6,48.2
149.3,49.1
160.9,69.8
145.7,46.6
151.7,41.1
147.4,34.3
148,41.2
148.4,35.6
145.6,44.7
155.7,48.3
157.3,49.7
152.8,60.6
146.1,42.2
149.4,45
140.4,29.2
146.6,41.9
157.3,59.8
117,21
119,23
120,28
125,24
122.2,24
123,24.6
127.3,23.7
122.5,26
115.4,21.8
116.1,23.5
121,24
122,30
122.5,26.5
108,18.2
114.2,18.6
121,26.3
121.5,19.7
130.3,29.2
128.9,35.8
135.4,46.1
124.5,29.8
131.5,28.6
130.5,26.1
122.5,23.7
127.8,27.2
124.9,24.1
122.2,23.9
122.1,23.1
126.2,27.2
134.4,30.5
122.1,22.7
128.3,23.9
133.2,30.5
136.9,29.2
125.2,24.9
132.9,28.4
127.4,34.2
123.7,29.3
120.7,23.5
125.2,22
143.9,46.6
132.3,29.6
136.7,40
144.9,36.1
134.8,29.7
131.7,28.2
126.4,22.5
117.9,22
121.1,28.6
132,32.3
124.2,24.6
130.1,35.4
151.1,43.9
126,26
133.3,26.9
133.9,30.5
138.6,45.4
128.1,35.1
130.1,26.8
128.1,25.4
124.4,27.6
134.7,30.9
140,46
135.7,28
132,27
131.6,25
149.3,55
138,38
152.7,50.5
143,46.7
139.4,39.8
140.3,28.2
151,47
148,42
132.3,28.2
136.8,34
138.4,43
138.6,47
134.4,40
140,29
134,30
152.5,44.5
140.6,33.6
146.8,45.8
150,59.4
140.2,30.6
149.6,48
137.6,28.2
131.5,27.5
151.1,39.9
139.5,36.1
146,39.9
144.6,38.4
147.9,29.5
145.1,49.3
139.1,31.3
129.2,22.7
141.6,29.1
143,34.1
150,37.8
146.5,36
136.9,46.4
154.5,57.6
146.3,49
153.9,56.5
140.9,33.6
153.4,56.1
150.4,48.9
140.5,39.1
154.1,38.9
142.8,33.5
154.4,37.3
153.9,41.1
150.7,38.2
150.7,45.1
147.9,45.2
152,45.1
161,65.4
150.6,79.2
150.3,46.9
150.6,38.1
154.2,45.6
147.6,36.7
121.7,22
119.4,24
114.3,22
128,28
119,27
125,30
128.4,25.5
120.7,23
118.9,24
116,19
124,28
118.1,23
118.2,26.6
123.4,26
122.2,27
122.3,24.1
124.1,29
116,23
117,26.4
116.2,20
124,25
114.6,17
131.1,28.3
124.8,21.1
128.1,27.2
127.3,25.7
129.7,38
122.7,24.5
134.5,45.6
124.8,24
130.5,38.2
135.8,31.4
125.8,32.4
128.7,26.6
139.2,34
133.6,38.6
133.5,31.5
129,31.3
132.4,28.4
126.9,26.9
125.1,24.7
124.1,32.8
123.8,37.1
126,30.3
124.9,24.6
132.1,33.3
126.4,27.5
128.4,37.8
127.3,25.7
144.4,40.1
129.8,27.6
127.2,28.9
131.2,28.5
145.6,41.2
138.5,33.3
139.3,28.5
137.4,40.7
126.2,45.9
137.6,40
133.9,40.2
140.4,48.6
134.5,41.9
126.5,33.4
142.5,42.7
128.4,24.7
144.6,29.1
129.3,27.5
131.2,22.8
130.4,30.5
124.7,27.4
138.2,41
151.3,47
136.5,38.8
147,54
152,62.8
142,34
140.9,42
137.7,29.5
132.2,27
143,48
142,41
139.2,30
134.3,27.6
138.8,32
135.7,31
144.7,52
145.9,42
132.7,30
135.6,39
144.3,34
129.6,23
155.2,53.4
144.1,43.4
147.8,41.4
161.5,65.7
145.5,35.1
155.3,47.7
139.9,31.2
151,38.1
145.1,38.2
144.6,37.4
140.6,33.2
152.7,37.7
149,50.2
137.4,28.1
142.7,56.5
143.9,31.3
142.8,46.5
139.6,41.7
153,42
150,36.6
143.8,34.9
135.4,33.2
139.7,37.8
141.5,33.8
145.2,44.1
149.6,60.8
157.1,61.8
154,46.9
140.9,31.5
141.2,30.2
160.1,72.4
155.1,43.8
155.6,44.6
147.9,58.4
152.8,49.1
158.2,54.7
160.1,49.3
156.4,46.7
153.1,53.5
152.1,56.3
161,52.7
152.3,42.2
157.5,48.3
154,47.5
158.7,49.9
143.7,45.3
156.3,47.6
159.2,54.1
152.4,48.6
155.6,51.5
119.2,23.2
129.3,34.8
113.9,22
122.5,21.7
129.3,38.9
119.2,23
113.6,31.8
115,18.5
123.8,22.1
119.2,26.8
119.9,24.1
114,19.2
128.1,24.9
119.9,21.9
124.7,22
122.5,23.3
120.4,25.2
115.9,26.3
122.2,26.3
131,32.4
126.2,27.6
126.2,25.1
124.3,23
122.1,24.9
129,25.5
132,37
134.3,37.8
125.9,24.4
129.3,24.1
124,24
132.8,33.7
121.7,22.6
136.5,33.5
132.5,27.2
121.1,27.4
125,32.5
132.1,26.4
124,24
137,38.2
136.8,28.7
136.5,33.8
128.4,27.4
140.4,43.4
137.1,39.5
124.5,25.5
124.5,25.5
130.7,23.5
130.5,25.8
130.7,23.5
139.5,29.3
124.2,24.4
135,37.8
127.8,22.5
134.1,27.7
128.3,24.9
139.8,38.1
129,27.8
134.8,33.7
134.3,32.3
141.2,35.3
140.6,36.3
142.8,58.2
136.7,32.8
145.4,31.1
138.3,27.1
142.1,34.3
144.2,41.4
134.1,26.1
138.4,30.7
146.1,38
138.2,37.2
136.2,37.7
141.5,31.2
140.2,32.9
141.2,38.4
141.1,31.9
135.9,35.2
137.9,45.7
140.9,38.1
142.4,37.7
146.1,42.8
150.5,43.6
144.3,36.5
145.1,42.1
145.2,32.7
149.7,44.1
140,45.9
143.7,35.5
143.7,35.5
157.4,40.4
137,40.4
141.7,44.7
141.4,39.1
144.5,42.8
140.3,32.2
139.4,29.5
139.8,35.8
148.7,44.4
148.2,39.8
150.3,41.4
158.3,55.7
151.8,37.4
149.5,39.1
152,40.3
148.2,34.3
153.6,38.8
160.2,79.4
148.2,35.9
143.8,43.1
148.5,34.2
171.9,66.8
159.6,64.8
144.6,44.8
147.4,35.3
150.8,44.5
140.8,34.8
145.9,31.5
157.2,50.1
153.8,51.2
150.9,41.9
150.5,37.8
148.6,38.5
152.4,45.9
115.2,21.9
116.6,20.8
121.1,21.9
120.7,29
123.4,22.1
117.8,27.5
116.1,22
124.7,24.2
125.8,27.7
116.6,19.8
121.7,23.1
118.5,20.4
119.4,24.1
114.9,20.9
117,23.8
125.7,21.2
133.4,39.8
127.4,25.9
120,21.3
128.1,30.5
128.3,33.1
119,20
136.9,45.3
124.8,20.9
123,21.3
116.5,19.5
133.6,26.4
121.7,25.1
125.9,26.7
126.3,26.7
132.3,38.1
145.7,48.4
136.1,34.1
135.5,29.6
124.6,22
128.7,26.6
136,30.2
137.8,32.4
131.7,32
134.3,27.6
132.3,30.2
138,28.5
130.5,22.9
140.1,44.2
127,25
131.5,26.2
139.5,31.5
141.1,32.1
136.5,31.4
135.3,39.3
129.8,22.9
123.4,22.2
138.3,32.8
132.2,26
143,50.7
136.7,30
145.3,59.1
140.3,36
136.9,30.6
148.2,40.1
141.1,44.7
135.7,40
139.3,33.2
141.9,30.8
135.2,30.1
134.1,33.1
142.7,33.1
130.2,27.6
146.2,41.7
129.3,28.9
152.7,69.7
146.8,56.4
141.1,31
149.4,41.5
131.1,28.1
144.7,47.3
138.9,34.5
148.4,48.5
140.8,33.9
137.2,31.6
137.6,36.8
139.1,32.9
132,25.1
152.4,40.2
145.9,44.1
157.2,55.4
149.5,56.8
154.6,43.8
146.2,36.3
137,25
168.6,77.7
144.9,39.2
142.1,33.9
153.1,40.7
160.5,53.8
151.5,45.7
161.4,46.8
147,40.5
142.1,33
159.6,48.3
151.5,37.9
148.8,44.8
150.9,58.4
153.7,50
156.8,46.5
160.7,47.9
161.8,51
157.3,45
146.7,37.2
161.7,49.7
162.8,52.5
162.4,46.9
156.8,56.2
166.1,61.1
166,48.4
158,46.7
163.2,45
161.9,48.1
156.2,45.1
155.3,51.9
154,50
155.6,48
160.6,54.2
163.8,59
155.2,45.3
166.7,50.2
155.1,58
157,45
157,49
163,45
157,41
166,50
154,49
160,48
159,58
162,54
160,59
159,59
168,69
156,51
160,54
155,41
159,50
164,46
167,60
163,56
159,59
171,58
160,46
159,59
154,59
153,47
163,53
157.2,60.9
163.6,54.1
163.4,56.2
172.1,51.2
162,48.2
168.1,75.7
162,59
159.1,39.5
158.8,42.2
162.4,66.3
155.1,48.6
163.5,65.6
164.1,63.4
159,50.3
154.1,42.3
156,53.1
162.9,57.8
166.3,59
158.3,57
167.8,58.5
160,60
172,56.5
165.7,49.9
159.5,42
164.5,55
172.6,60.6
159.4,48.5
167.2,52.7
170.3,73
157.8,47
160.3,57.3
161.5,56.2
160,56
155.2,43.3
161.7,55.9
156.8,43.3
161.1,59.6
161.7,47.6
146.4,32.1
165.2,50.5
158.2,50.4
156.5,46.5
157.6,63.9
155.1,50.4
151.8,51.2
153.5,65.7
152,45.6
158.4,56.6
160.9,40.9
158.6,44.6
153,48.6
156.9,53.4
154.3,43.5
155.3,41
161.7,49.8
157.4,52.3
157.6,48.2
168.6,61.8
159.1,45.7
143.2,33.9
148.6,38.3
161.5,65.9
155.6,57
155.7,43.3
163.5,48.7
158.8,54.7
159.2,50.5
154.8,45.1
155.2,46.3
161.9,60.9
155.1,59.1
164,51
172.5,48.9
155.8,51.2
159,49
151.4,43.1
154,43.1
155.3,48.8
155.3,45.6
150.2,48.1
147,42.5
160,51.7
163.8,89.7
159.9,49.1
162.1,62.5
156.1,53
158.3,67.2
155.6,40.8
162.8,56
159.1,63.2
160.5,53.9
156.7,45.4
146.3,40.4
160.8,61.7
162.4,54.5
160.5,53
172.9,79
151.3,52.4
159,59.3
159.1,51.9
166.7,50.5
156.5,64.4
168.4,58.5
160.2,53.9
162.5,59.6
153.1,50.6
156.8,47.6
170.1,66
158.3,55.3
163.7,52.4
163.3,51.8
165.7,58.4
166.1,60.6
153.9,44.2
162.9,51.4
158.1,47.9
163.8,46.3
156.6,46.1
157.7,36.4
167.9,66.2
173.8,67.1
150.5,56.1
165.8,50.1
162.8,52.9
159,49.9
161.3,54.1
160.6,56.1
161.5,50.2
168.8,69.9
160.3,54.6
167.7,57.2
152.4,46.3
160.1,36.9
151.8,47.6
161.4,55.2
160.2,51.2
157.1,42.2
164.4,50.7
162.6,60.5
159.3,45.3
160.6,60.7
145,33.7
151.1,58.5
154.2,36.2
155,39.2
151.6,36.1
150.8,46.4
162.8,48.4
168.1,70
159.3,45.2
163,49.1
